
################################ SETTINGS ###################################
#RUN ID: 1529743384.7388253
#Genetic Algorithm Parameters:
#Max gen: 		900
#Migrations Interval: 	300	with 1% migrating individual
#N Islands:	1 with pop size:	300
#INDPB:	0.2
#Tournament size:	 2
#CXPB:	0.35	MUTPB:	0.35
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(0.995, 655.0, 24451.750445537848)
AP:100
x:-168.43952461352467, y:152.244630947572, type:0, wire:42
x:328.1513052998807, y:-309.018527908701, type:1, wire:14
x:477.4269353472669, y:-416.36095998792945, type:1, wire:18
x:73.66907617299015, y:-262.68116370094293, type:1, wire:101
x:-231.1954620161034, y:-233.07633281428122, type:0, wire:56
x:-418.56743153620585, y:452.29332425485313, type:0, wire:37
x:131.52430637847317, y:-23.020126936212616, type:0, wire:93
x:49.30752863941126, y:260.88903696835365, type:0, wire:27
x:7.545214649209349, y:-413.7533048672832, type:0, wire:17
x:284.0324810410383, y:86.15055301673776, type:0, wire:88
x:170.34644224493746, y:96.32817451056965, type:0, wire:52
x:-90.46255525829768, y:-197.72130288531105, type:0, wire:53
x:-172.32916777946298, y:-128.12393349343108, type:0, wire:18
x:121.09674465706817, y:-247.46558418000745, type:1, wire:18
x:255.75183120506892, y:-305.5783353431913, type:1, wire:90
x:-444.5876341468081, y:29.754961482466086, type:1, wire:33
x:208.5096838810629, y:-145.90364868909538, type:0, wire:17
x:182.96240124295724, y:41.039307033675065, type:0, wire:21
x:-256.1670107694288, y:-440.55453057311485, type:1, wire:18
x:-309.22893951174643, y:-274.66405488672905, type:0, wire:75
x:118.86235754005075, y:438.6985511956419, type:0, wire:18
x:235.4217488697018, y:-2.0719848049176375, type:0, wire:101
x:120.16902465816878, y:-121.89099179939251, type:1, wire:90
x:42.195976210309055, y:-407.0345007895424, type:0, wire:18
x:120.08862563080982, y:-153.52311396245415, type:0, wire:101
x:397.45226504286086, y:416.09104961057153, type:1, wire:62
