
################################ SETTINGS ###################################
#RUN ID: 1529755204.895383
#Genetic Algorithm Parameters:
#Max gen: 		900
#Migrations Interval: 	300	with 1% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.2
#Tournament size:	 2
#CXPB:	0.5	MUTPB:	0.35
##############################################################################
N_INDIVIDUALS:20
IND:0
#fitness: 	(1.0, 1165.0, 48059.04792776487)
AP:100
x:-323.9672570299786, y:-242.29147299418602, type:1, wire:58
x:248.9847811250483, y:404.74736380794803, type:1, wire:93
x:40.97928582541147, y:-216.5736606930403, type:1, wire:38
x:-187.94536032465408, y:360.37076258076553, type:1, wire:12
x:354.5643886001335, y:-416.26865210613227, type:0, wire:78
x:-414.122040011827, y:-288.38111373154595, type:1, wire:82
x:-351.53474533881166, y:181.25653040014618, type:1, wire:43
x:-11.916956725932414, y:-322.1508802157438, type:0, wire:17
x:258.38759299298795, y:85.39634638050883, type:1, wire:97
x:432.33655530652646, y:95.5540525701112, type:1, wire:2
x:-137.155290540546, y:-291.8416611455916, type:1, wire:5
x:-442.4757607592502, y:-148.81946939667955, type:0, wire:78
x:381.6123331347241, y:456.1093301348041, type:1, wire:56
x:15.969488441438562, y:-271.7504492133586, type:0, wire:63
x:14.532750745590908, y:172.24100787858475, type:0, wire:5
x:0.41784642438381425, y:419.08589793158563, type:0, wire:42
x:-107.93910579714365, y:144.92268112369626, type:1, wire:53
x:-210.17825098338906, y:2.984911082862883, type:0, wire:25
x:-153.71893621083493, y:399.84819725591944, type:0, wire:60
x:-110.28941802391981, y:39.79331406120321, type:0, wire:15
x:-99.14844583590012, y:344.76395085607163, type:1, wire:0
x:-399.0211563039289, y:19.196494682230078, type:0, wire:52
x:288.27837747540707, y:-160.00343069279592, type:1, wire:5
x:-438.6367663098383, y:20.62616944854079, type:0, wire:5
x:420.36012890706127, y:-209.3756629331699, type:1, wire:91
x:-229.9440419562165, y:165.42512273277157, type:1, wire:0
x:229.73559953165108, y:-438.34588413042337, type:0, wire:10
x:-459.35053502203783, y:125.9612973974767, type:1, wire:68
x:366.89182189402646, y:293.27800950671946, type:1, wire:1
x:140.28006933180734, y:497.09793625981683, type:0, wire:0
x:43.697715955109885, y:297.4471999694002, type:0, wire:4
x:-361.1004143776578, y:-148.27837306436024, type:1, wire:96
x:356.91899286905283, y:223.91951989402753, type:0, wire:39
x:486.23620572652044, y:345.2930745076117, type:0, wire:43
x:-181.56486384004458, y:-225.8309323329673, type:0, wire:2
x:-63.15740096937756, y:362.7158447060836, type:0, wire:40
x:-380.38718920532284, y:314.83799279335756, type:1, wire:37
x:137.31791390882893, y:-145.60257414748796, type:0, wire:53
x:225.14674334762026, y:164.31914707758298, type:0, wire:27
x:192.11179352163745, y:288.401188685496, type:1, wire:71
x:-226.66095146240306, y:123.23649020425411, type:0, wire:44
x:-254.26791508637743, y:-474.39034738757994, type:1, wire:23
x:-300.055884660616, y:-313.75410297841273, type:1, wire:77
x:-371.61513504250365, y:-128.13937593159227, type:0, wire:48
