
################################ SETTINGS ###################################
#RUN ID: 1529597408.0656161
#Genetic Algorithm Parameters:
#Max gen: 		1000
#Migrations Interval: 	300	with 1% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.2
#Tournament size:	 2
#CXPB:	0.5	MUTPB:	0.25
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(1.0, 655.0, 14636.398917613347)
AP:100
x:-68.92072714071426, y:338.2334647927915, type:0, wire:101
x:-351.2562742466364, y:48.39161773076967, type:0, wire:33
x:-446.4592266244429, y:-444.5058246534511, type:1, wire:2
x:-395.9177085591836, y:-465.8221364957273, type:1, wire:101
x:-174.91190252660064, y:-373.7894914521411, type:1, wire:56
x:-289.40918287072145, y:-232.10162256976835, type:0, wire:85
x:442.5483605240037, y:83.32711098798545, type:1, wire:29
x:426.56963464124925, y:456.3223244034837, type:0, wire:82
x:263.0512827639289, y:-461.5011258353924, type:0, wire:29
x:270.65029803853173, y:462.8911237094176, type:0, wire:62
x:268.65721494179644, y:-141.73865444574136, type:1, wire:35
x:240.00035896970425, y:139.38765711187781, type:0, wire:55
x:-478.02986856399053, y:-226.5950316467348, type:0, wire:72
x:-39.47398193537732, y:139.89136315773368, type:1, wire:85
x:383.3220869343075, y:8.932410768180901, type:0, wire:70
x:36.187649294983984, y:187.7621696401678, type:0, wire:-1
x:306.75551001375766, y:197.85354967914105, type:1, wire:60
x:-274.6885006034405, y:-273.4285369321793, type:1, wire:97
x:-349.70009354551485, y:-231.8856508215612, type:0, wire:85
x:-250.45865033411246, y:-53.00309907913447, type:1, wire:89
x:-119.44567647754741, y:116.78325907341367, type:1, wire:-1
x:159.62512128039623, y:183.22592924284677, type:0, wire:89
x:167.23640265177852, y:421.6404959657671, type:0, wire:38
x:69.05571214818109, y:-72.7956896537496, type:0, wire:89
x:-29.857851200299734, y:477.75237880192964, type:0, wire:14
x:181.2255833850961, y:-428.29489255508855, type:1, wire:79
x:-78.70090159700834, y:189.0094365776378, type:0, wire:38
x:389.12882748543467, y:316.95065803217824, type:1, wire:-1
x:475.51684895880396, y:-422.8404341920444, type:0, wire:50
x:359.1530813832925, y:-171.57408220472513, type:0, wire:82
x:-457.8154604327307, y:392.1210340145282, type:0, wire:55
x:-350.99938376443004, y:-386.0234305394288, type:1, wire:53
x:-212.75496012399185, y:244.23156390862314, type:1, wire:101
x:-53.270360593114674, y:263.37684334288707, type:1, wire:70
x:408.04555839431794, y:-258.7341235718686, type:0, wire:29
x:-38.44826679784, y:-43.62792954830627, type:0, wire:79
x:174.62997744083827, y:45.21080035532749, type:0, wire:40
x:85.10549578196672, y:322.4249156802318, type:0, wire:72
x:-260.4125442953983, y:394.8993667546434, type:1, wire:101
x:-392.302799267112, y:-61.12222158672777, type:1, wire:54
x:364.2520034039294, y:345.99339309531786, type:1, wire:83
x:351.87493962065446, y:-143.63630660017253, type:0, wire:14
x:156.88937925912575, y:-262.64482594400437, type:0, wire:12
x:6.4408730457015775, y:-276.49177137621473, type:0, wire:15
x:447.832620507474, y:-106.43601056548434, type:0, wire:29
x:163.9515374095749, y:-116.69509349765889, type:0, wire:55
x:221.90453548385966, y:-295.3503128553785, type:1, wire:15
x:4.849324091678544, y:-281.2730946961548, type:0, wire:85
x:-410.6144962001242, y:312.0674712062832, type:0, wire:101
x:250.58600160880147, y:302.5553598415966, type:0, wire:15
x:245.48303709311713, y:-89.14035199710389, type:0, wire:12
x:-60.75062782603746, y:-9.696055612900583, type:0, wire:55
x:84.13234520427103, y:-245.05863065672065, type:1, wire:47
x:-316.72652718978634, y:-56.82139013981945, type:0, wire:70
x:-106.13410081736164, y:60.108304176361514, type:0, wire:27
x:249.79722804272578, y:17.203107807632747, type:0, wire:29
x:-9.284700709108185, y:500.49325197320013, type:0, wire:15
x:-260.9021492614731, y:-172.72436870272665, type:1, wire:89
x:113.71665922319417, y:113.09801728350776, type:0, wire:55
x:129.71555823768674, y:-2.0506954622845353, type:0, wire:55
x:100.12079946908727, y:-26.22039381676171, type:0, wire:12
x:55.014130405428766, y:-406.09988825984476, type:1, wire:29
x:90.63781922403844, y:15.976019573707326, type:0, wire:85
x:-467.29126512448664, y:222.18517927740535, type:0, wire:101
x:-104.44660417655956, y:218.02835470167565, type:0, wire:101
x:-466.79542182991554, y:-277.87925417226745, type:1, wire:72
x:297.849955395277, y:185.67038098743825, type:0, wire:55
x:-478.97911035517, y:412.72316747334406, type:1, wire:72
x:218.79283399149253, y:285.16664122648086, type:0, wire:83
x:-435.30882265265984, y:-278.76848661116105, type:0, wire:47
x:-283.838011025541, y:433.0462468095391, type:1, wire:-1
x:236.1899573744293, y:-415.90860582490154, type:0, wire:29
x:-201.3859542163857, y:93.66786955267455, type:0, wire:4
x:223.1762388456455, y:-91.62581119324831, type:0, wire:2
x:435.7300877190651, y:-291.10167893820903, type:0, wire:49
x:-349.89234109237964, y:-52.822853541681184, type:0, wire:80
x:62.09497303431603, y:214.21571149731443, type:0, wire:85
x:-454.5539158396649, y:62.19899032837398, type:1, wire:51
x:123.74725234182961, y:-225.48749804328327, type:0, wire:-1
x:-219.89282037717715, y:-163.58980251317266, type:0, wire:12
x:414.00180212516614, y:323.6728550624002, type:0, wire:87
x:-378.5243068272373, y:-142.00984916965393, type:0, wire:69
x:142.01712560497748, y:344.2114358929428, type:1, wire:101
x:14.839262722300802, y:398.6176056085439, type:0, wire:101
x:90.63718440803221, y:144.91980743077642, type:1, wire:21
x:59.037458962468534, y:9.355398143194785, type:1, wire:59
x:-405.8055493166194, y:132.15017101819313, type:0, wire:101
x:479.2092097309919, y:-212.6593348903334, type:0, wire:4
x:281.33477570017, y:278.9689874842286, type:0, wire:96
x:-48.45107150388773, y:34.96792588356569, type:0, wire:101
x:361.25702128324286, y:429.55117193438275, type:1, wire:56
x:274.97697616317856, y:-107.7407884467217, type:1, wire:29
x:215.6386824055328, y:-191.01194358063884, type:1, wire:29
x:-488.51364956962396, y:334.9058832642241, type:0, wire:63
x:-173.23005606515616, y:-184.95860565812512, type:0, wire:51
x:-352.68178423231484, y:-311.49490113669344, type:0, wire:19
x:-150.47633619467263, y:318.7101834230138, type:0, wire:101
x:427.85918089632787, y:-370.21412515689826, type:1, wire:15
x:-243.4897083594357, y:-274.3263435806799, type:1, wire:95
x:-177.91504332480093, y:221.68361741594603, type:1, wire:4
IND:1
#fitness: 	(1.0, 695.0, 15121.54629739996)
AP:100
x:49.056662461325864, y:92.63586149090429, type:1, wire:25
x:-99.88186928870213, y:168.67216774290844, type:0, wire:23
x:-249.8907879353998, y:345.3778214124874, type:1, wire:40
x:431.2911504163041, y:11.461367491763648, type:1, wire:22
x:-323.59222919799953, y:-261.7250361155455, type:0, wire:93
x:-195.85853566371355, y:17.31820388634081, type:0, wire:22
x:-319.3271235246392, y:-142.88741926518722, type:1, wire:95
x:80.22968805579072, y:-7.59237941858747, type:0, wire:59
x:25.850453465594267, y:-336.3082167586358, type:1, wire:55
x:-393.42427246387575, y:257.06721564893326, type:0, wire:23
x:269.33155381739095, y:-97.42173045473685, type:1, wire:31
x:-424.5016070962318, y:167.11981248290715, type:0, wire:101
x:139.33135686831667, y:66.91688160369151, type:0, wire:51
x:-48.955576264139644, y:69.38194221209055, type:0, wire:22
x:133.30431988323102, y:204.44918225826635, type:1, wire:38
x:-477.9202475472575, y:330.4842498008276, type:0, wire:37
x:64.5065044843625, y:198.10801447960074, type:0, wire:98
x:-218.71106434684984, y:-484.91592004059845, type:0, wire:93
x:-472.2093076410041, y:-19.93086914877616, type:0, wire:20
x:-422.4819426804528, y:376.14902864347715, type:1, wire:96
x:-459.4614106900003, y:53.63541588806712, type:0, wire:101
x:-209.5414019025114, y:-441.5184141514407, type:1, wire:49
x:-11.758414204468652, y:9.116743718071335, type:0, wire:66
x:-14.172613028848282, y:119.07888493043646, type:0, wire:22
x:-118.04037013798336, y:0.33009541245288254, type:0, wire:95
x:12.634107524613569, y:87.38785749133335, type:0, wire:23
x:-394.97788490967235, y:-141.54832385860811, type:0, wire:95
x:-308.95276495798976, y:254.5823467504488, type:0, wire:55
x:-26.376504446634335, y:369.2777925242408, type:0, wire:62
x:282.5608084448677, y:508.69153568589314, type:0, wire:33
x:274.4191112188269, y:-403.29245031100913, type:0, wire:96
x:279.78568766686993, y:-419.54560528612365, type:0, wire:91
x:497.5715893541147, y:6.241238446981749, type:0, wire:49
x:-261.0537232704256, y:321.40300206373024, type:1, wire:101
x:-241.62619363469798, y:205.0259658540071, type:1, wire:23
x:244.01052453758203, y:353.3075815909873, type:1, wire:8
x:-112.7745887815986, y:115.60559090522713, type:1, wire:14
x:-267.598035593397, y:446.08684497050166, type:0, wire:101
x:-309.42683106357674, y:-158.97832692318627, type:0, wire:49
x:161.46072879928545, y:-247.5506653053231, type:0, wire:25
x:465.5682949752676, y:359.65736975398164, type:0, wire:75
x:-307.12289232429464, y:425.0861715096673, type:0, wire:14
x:466.01488506634433, y:134.13818317028137, type:0, wire:3
x:43.389104438127234, y:-219.79846137625884, type:0, wire:95
x:215.39327428566565, y:-226.40193796016152, type:0, wire:3
x:-247.96324287325325, y:-123.00607211947249, type:0, wire:91
x:-121.95462662948015, y:-169.42983986003955, type:0, wire:66
x:-6.438157284865151, y:-344.6479821797572, type:0, wire:46
x:362.5425994303544, y:-106.028653366309, type:0, wire:70
x:452.6269894682895, y:69.94022771856636, type:0, wire:-1
x:-399.66015112629225, y:-236.00599212196266, type:0, wire:72
x:220.24041437091572, y:174.11359823328834, type:1, wire:3
x:-59.920783164615216, y:-224.28616383619413, type:0, wire:95
x:296.3218428671656, y:216.96665923081895, type:1, wire:7
x:390.95273320133094, y:-311.5762597295243, type:0, wire:3
x:117.95466447377169, y:106.89732157151451, type:1, wire:96
x:140.79088796819488, y:-14.730178251333133, type:0, wire:22
x:141.44060522638287, y:136.44082129865407, type:0, wire:59
x:38.73562578971629, y:-223.5109683796621, type:1, wire:32
x:94.47385013987642, y:200.7775658490877, type:0, wire:101
x:-449.7664810099268, y:-455.5061855732083, type:0, wire:93
x:34.49094514369715, y:182.99807325431644, type:0, wire:59
x:181.16983024935973, y:311.57232975824, type:0, wire:53
x:28.47288802037177, y:-407.5359963703307, type:0, wire:49
