
################################ SETTINGS ###################################
#RUN ID: 1529745433.6293755
#Genetic Algorithm Parameters:
#Max gen: 		900
#Migrations Interval: 	300	with 1% migrating individual
#N Islands:	1 with pop size:	300
#INDPB:	0.2
#Tournament size:	 2
#CXPB:	0.35	MUTPB:	0.35
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(1.0, 770.0, 29039.106775908072)
AP:100
x:-367.60720901940647, y:182.7339686266068, type:0, wire:85
x:-372.14118587878113, y:-400.9823047603025, type:0, wire:63
x:-423.70407381275277, y:306.82406282540813, type:1, wire:46
x:358.87634568294106, y:-182.35660595128326, type:1, wire:67
x:364.41275375553624, y:164.2821484938015, type:0, wire:63
x:-430.8465759256414, y:476.74320642161456, type:0, wire:26
x:-206.45404807572834, y:378.39456720623514, type:1, wire:101
x:-394.1420378256549, y:-250.39562700689223, type:0, wire:65
x:35.725003979890566, y:-385.36784798983706, type:1, wire:43
x:-408.0458591443274, y:478.7868595029047, type:1, wire:68
x:352.53628302246113, y:0.9559623899975636, type:1, wire:88
x:141.14898639475413, y:-324.1251403198858, type:0, wire:14
x:-417.02050008910663, y:151.55524937975602, type:0, wire:12
x:-138.67884243477843, y:-399.28342291376396, type:0, wire:39
x:5.898155266736957, y:-253.13969320403766, type:0, wire:54
x:73.89762989353483, y:-394.78701023886714, type:0, wire:67
x:-329.0984648556966, y:308.932194337706, type:1, wire:78
x:266.40861319162894, y:-244.0649526326333, type:0, wire:60
x:271.1106198961649, y:187.94130124215647, type:0, wire:88
x:-332.82352812360557, y:5.434972261218183, type:0, wire:33
x:-256.53737195421724, y:122.11098646421543, type:0, wire:66
x:-360.8562699060851, y:-456.6628312191231, type:1, wire:26
x:180.24366754425546, y:-415.78804811850705, type:1, wire:67
x:-322.81328490789144, y:-250.4779045742286, type:1, wire:36
x:-215.74294847528645, y:-313.1262181121361, type:0, wire:63
x:347.908252354737, y:-373.90449431422513, type:0, wire:9
x:159.9967443879136, y:-368.62754863593585, type:0, wire:96
x:378.9055896759684, y:338.7700887774827, type:0, wire:37
x:-463.31742161389474, y:-20.750034757753237, type:1, wire:69
x:435.4657763663554, y:92.84420884084781, type:1, wire:99
x:-379.92240886412617, y:-157.55930815852525, type:1, wire:20
x:-40.44636545406193, y:96.38413252218811, type:0, wire:26
x:284.06368310119643, y:381.9120781169979, type:0, wire:26
x:-15.578701115536376, y:-230.44820319233924, type:1, wire:97
x:-468.2181302770549, y:122.97704347941057, type:1, wire:17
x:220.02564797351064, y:-132.24235654407926, type:1, wire:38
