
################################ SETTINGS ###################################
#RUN ID: 1529759631.8954246
#Genetic Algorithm Parameters:
#Max gen: 		900
#Migrations Interval: 	300	with 1% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.2
#Tournament size:	 2
#CXPB:	0.5	MUTPB:	0.35
##############################################################################
N_INDIVIDUALS:20
IND:0
#fitness: 	(1.0, 1175.0, 44236.754258773995)
AP:100
x:221.6670648920317, y:-439.8737838754056, type:0, wire:53
x:-436.43065732484763, y:149.86377847755458, type:0, wire:2
x:118.70228864710698, y:444.04519101225657, type:1, wire:37
x:175.37568498306217, y:51.241634101189035, type:1, wire:7
x:48.50159942822693, y:-434.4167625021961, type:1, wire:62
x:-226.31819093562322, y:195.84055513850612, type:0, wire:41
x:-387.65649904088383, y:-121.9050040395767, type:0, wire:32
x:329.0705498934233, y:279.01867615941023, type:1, wire:17
x:-260.2299532641889, y:-243.59994729013266, type:1, wire:99
x:-137.57812756974783, y:421.95316828806733, type:0, wire:56
x:-74.29463283607994, y:479.8569163300782, type:1, wire:78
x:170.61657783653686, y:-305.3576963572417, type:0, wire:21
x:479.9472109584692, y:265.97577640410475, type:0, wire:63
x:-332.74159080353, y:-237.12771267271734, type:0, wire:7
x:-257.4253820042411, y:-282.55391397171803, type:0, wire:70
x:134.73449999054623, y:-199.23155807518924, type:1, wire:81
x:439.6954896461606, y:486.24669884905506, type:1, wire:33
x:138.99749149047764, y:181.13407987472783, type:1, wire:65
x:-6.489271249845435, y:190.2981914896713, type:0, wire:15
x:-451.66505126966376, y:-218.3474403624125, type:1, wire:91
x:-493.21581879926964, y:-61.209027373044684, type:1, wire:78
x:192.993168501703, y:258.79710336700117, type:1, wire:15
x:-116.86771606080379, y:485.68118382664244, type:0, wire:10
x:-451.850058837251, y:310.4068835514828, type:0, wire:71
x:63.79468362423003, y:462.6882652297098, type:0, wire:87
x:-177.2722535559768, y:340.0644564628607, type:0, wire:23
