
################################ SETTINGS ###################################
#RUN ID: 1529581511.634093
#Genetic Algorithm Parameters:
#Max gen: 		500
#Migrations Interval: 	100	with 2% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.07
#Tournament size:	 3
#CXPB:	0.5	MUTPB:	0.25
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(1.0, 955.0, 27141.204853811705)
AP:100
#fitness: 	(1.0, 960.0, 26752.86512370994)
AP:100
x:188.66500522889035, y:-154.70461953798903, type:0, wire:43
x:-150.8448617398821, y:372.228915925777, type:1, wire:75
x:-105.18296299744382, y:-415.67328963109804, type:1, wire:100
x:518.0134211257566, y:-52.89367164266724, type:0, wire:42
x:35.78427819969545, y:-20.806524995889184, type:0, wire:0
x:244.55141501482595, y:130.40150182032465, type:0, wire:43
x:286.3282594669232, y:-486.21872141905357, type:0, wire:38
x:329.78275203852724, y:-176.78174830422273, type:1, wire:5
x:27.037155826714216, y:-374.81222884250093, type:0, wire:20
x:-310.58375178815436, y:87.03744566820356, type:0, wire:101
x:-36.33968104091189, y:370.67627788903656, type:0, wire:20
x:-377.0127488127637, y:-219.22199462460148, type:0, wire:94
x:57.34060062879661, y:464.1376376837784, type:0, wire:43
x:63.94020300364927, y:180.13497539479073, type:0, wire:22
x:-458.20177410102235, y:-262.1705123029487, type:0, wire:23
x:23.852723674493674, y:-284.7514080949078, type:0, wire:8
x:44.91377528132805, y:470.80941660956074, type:0, wire:100
x:371.14292854334764, y:30.027738997892357, type:0, wire:62
x:-53.8016785778517, y:95.80459711300901, type:1, wire:47
x:442.3799584753213, y:357.7402177370537, type:1, wire:85
x:60.62332607808257, y:262.0688899237058, type:0, wire:85
x:-325.9236569106213, y:268.54399248757124, type:0, wire:20
x:-207.7045202061147, y:387.9433557780371, type:1, wire:2
x:-322.81328490789144, y:-247.15558433820317, type:0, wire:20
x:56.87714817404146, y:-160.548186505516, type:0, wire:17
x:464.6735361873412, y:461.12152442141826, type:0, wire:43
x:-93.37207131561092, y:-214.59826233431684, type:0, wire:43
x:-230.30075711779642, y:-3.0800873900157626, type:0, wire:96
x:-464.47028273556464, y:358.0502160189461, type:1, wire:89
x:-221.01727590073767, y:6.325461116697452, type:0, wire:20
x:294.37012953885585, y:303.26591033635907, type:0, wire:44
x:-10.379758932240403, y:92.43597652833837, type:1, wire:43
x:53.91116461807493, y:-365.51193860115376, type:0, wire:7
x:-1.6581598386220442, y:-210.2795672491496, type:0, wire:0
x:-213.3641008453065, y:-200.33929291056936, type:0, wire:76
x:284.87838849558517, y:-464.4062554894006, type:1, wire:86
x:425.1886021632781, y:426.1877166646594, type:0, wire:76
x:379.9966422887303, y:-276.6109996912171, type:1, wire:26
x:-170.88198340496285, y:426.0438589290222, type:1, wire:64
x:464.70558369786073, y:102.1377381101546, type:0, wire:66
x:-122.5873602432851, y:-211.88296524441392, type:1, wire:41
x:472.2776641044783, y:143.313604803214, type:1, wire:41
x:199.87505679362403, y:167.1146201334772, type:0, wire:86
x:87.34335608281582, y:114.01595949287469, type:0, wire:101
x:300.87685431524807, y:-273.20663346082733, type:0, wire:0
x:202.14520742485198, y:2.872751121413046, type:1, wire:0
x:-348.3353576538339, y:-78.35493746208591, type:0, wire:0
x:-59.305965929735045, y:262.0497768249594, type:1, wire:40
x:-118.8485502133409, y:395.35432221000656, type:0, wire:85
x:-348.5526423737031, y:-298.1064182091073, type:0, wire:0
x:-449.2026757400359, y:220.36289726759932, type:1, wire:101
x:96.58815296159113, y:-428.76719727033014, type:0, wire:26
x:-149.9495701712581, y:211.01504294093377, type:1, wire:51
x:184.72430796887863, y:251.7663783691033, type:0, wire:85
x:191.53540343936982, y:166.1629497369879, type:0, wire:45
x:289.47181689989895, y:-482.639446745132, type:0, wire:0
x:201.8365933504473, y:-127.32047004376443, type:1, wire:5
