
################################ SETTINGS ###################################
#RUN ID: 1529578130.127105
#Genetic Algorithm Parameters:
#Max gen: 		500
#Migrations Interval: 	100	with 2% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.07
#Tournament size:	 3
#CXPB:	0.5	MUTPB:	0.25
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(1.0, 935.0, 28988.695223881146)
AP:84
x:356.1765380383221, y:-51.66071940841607, type:0, wire:98
x:-437.7087348996531, y:-50.923062898859484, type:1, wire:25
x:-479.04245460172365, y:322.68474692388924, type:0, wire:7
x:227.6606045834627, y:-18.579645473824257, type:1, wire:97
x:112.09859462409912, y:-220.320292833803, type:1, wire:71
x:-110.66436872263742, y:188.253415793332, type:0, wire:79
x:-182.7152484399753, y:139.83279295137243, type:0, wire:34
x:-21.6749482276579, y:84.75989000690704, type:0, wire:47
x:-407.66843473417043, y:-214.360346653225, type:0, wire:73
x:24.17814367979941, y:229.72750005049136, type:1, wire:97
x:64.89118315212862, y:32.11378193806156, type:1, wire:40
x:-113.38903512028091, y:107.92387267451852, type:0, wire:37
x:224.50771125267286, y:423.2082232147196, type:1, wire:21
x:332.43358690547194, y:130.4682710261582, type:1, wire:65
x:210.99614027374048, y:328.4620404077872, type:0, wire:81
x:-393.7924419712051, y:236.76933856146485, type:0, wire:42
x:-434.79736509785045, y:-171.57693770940548, type:1, wire:101
x:-235.88581098328757, y:289.4401196075047, type:0, wire:6
x:-301.1157221569938, y:-215.9479755184011, type:0, wire:63
x:422.3330435710654, y:477.21680049173455, type:0, wire:40
x:197.49738039711974, y:-6.415355735043363, type:1, wire:58
x:446.4332299529926, y:-73.32196572760756, type:0, wire:97
x:-246.2427661125251, y:234.5251509209537, type:0, wire:40
x:165.56421742022619, y:-240.3748404720734, type:0, wire:21
x:398.9511496403684, y:-298.8971305283073, type:0, wire:40
x:-392.1227905191296, y:229.47925096842255, type:1, wire:55
x:60.801154192353145, y:31.081225658224128, type:0, wire:40
x:466.62482167707606, y:-90.50935414981035, type:0, wire:7
x:-414.7986512801075, y:-447.72087949832877, type:1, wire:93
x:66.02419731229396, y:23.541527346611883, type:0, wire:21
x:-231.72742528438982, y:24.834815276898244, type:0, wire:93
x:-74.59874918916927, y:-157.12158285228244, type:1, wire:40
x:191.66747682047117, y:308.23580809841195, type:0, wire:93
x:-219.88102369721705, y:-242.84441859157593, type:0, wire:24
x:-103.35947426962576, y:-484.2520820521806, type:0, wire:4
x:-424.30666948263, y:376.56205061475976, type:0, wire:24
x:-299.23400024808166, y:-138.49659822402396, type:1, wire:68
x:443.6542327608044, y:106.4775616884989, type:1, wire:71
x:404.6903223598182, y:326.99046900290455, type:0, wire:34
x:-304.1859798226575, y:-251.0252895719475, type:1, wire:6
x:-411.20213931162823, y:364.59093427245557, type:0, wire:47
x:327.51482784579343, y:128.70422958897285, type:1, wire:47
x:19.138076274465732, y:-389.1331351700534, type:0, wire:20
x:-390.6548081347826, y:-447.31244414167634, type:0, wire:47
x:-366.89856739653874, y:-248.2942009124322, type:0, wire:63
x:379.40516517964727, y:93.99123636999428, type:0, wire:95
x:245.09009594911106, y:161.25846354192373, type:0, wire:40
