
################################ SETTINGS ###################################
#RUN ID: 1529519249.0195754
#Genetic Algorithm Parameters:
#Max gen: 		300
#Migrations Interval: 	50	with 2% migrating individual
#N Islands:	6 with pop size:	100
#INDPB:	0.07
#Tournament size:	 5
#CXPB:	0.5	MUTPB:	0.2
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(0.995, 880.0)AP:71
x:-168.38258724553316, y:36.54962650172193, type:0, wire:74
x:282.4531442485874, y:-492.26153492487276, type:0, wire:10
x:-70.80120859075896, y:442.9077781879298, type:0, wire:27
x:-443.3505761332526, y:-153.55926242690273, type:0, wire:57
x:-388.0256873955726, y:-281.34753072539274, type:1, wire:92
x:-473.60352486209865, y:-462.4017459457168, type:0, wire:3
x:194.54856980916824, y:349.49892211653207, type:1, wire:75
x:182.48018590361494, y:131.0795893385229, type:1, wire:86
x:-46.59616800445224, y:162.6824418431303, type:1, wire:19
x:297.15599325397716, y:-87.06833649898363, type:1, wire:72
x:-199.61749879633126, y:214.69208099609529, type:0, wire:35
x:105.80174841630054, y:309.80617969556454, type:0, wire:91
x:112.57479920707306, y:184.7235913418562, type:0, wire:29
x:-328.33843857101454, y:-38.840798330877874, type:0, wire:96
x:391.96521475024815, y:399.4488562188309, type:0, wire:72
x:66.74848916798425, y:244.90477972108948, type:0, wire:54
x:193.04732972726447, y:-135.4897865735466, type:1, wire:74
x:-221.33274207554786, y:-147.0172781733699, type:1, wire:64
x:-174.91688934590445, y:-30.66226097443392, type:0, wire:27
x:-242.75684948114974, y:-290.1859182362361, type:1, wire:76
x:-464.53132995225417, y:161.10648186685097, type:1, wire:36
x:-433.5282089041716, y:302.78113078271446, type:1, wire:67
x:302.10058715147954, y:-190.25852886595965, type:1, wire:54
x:491.70237321509103, y:187.92316675647646, type:1, wire:55
x:191.71486356223602, y:18.81866998506274, type:1, wire:97
x:441.68330394537327, y:-427.0512856794279, type:0, wire:84
x:-233.93192176690695, y:272.93400335782485, type:1, wire:3
x:-472.2050500633122, y:1.5553043464607388, type:0, wire:97
x:-359.7704079726392, y:424.98618772213104, type:0, wire:91
x:330.7144545597694, y:291.44841847726, type:1, wire:41
