gen	nevals	avg                            	std                            	min                	max                
45 	179   	[  0.83838333 757.        ]    	[5.82820989e-02 7.66061355e+01]	[4.6e-01 5.1e+02]  	[9.15e-01 9.50e+02]
46 	169   	[  0.8419     766.33333333]    	[5.10332245e-02 7.29638419e+01]	[  0.63 530.  ]    	[9.20e-01 9.65e+02]
47 	159   	[  0.8449 772.7   ]            	[4.84164917e-02 7.59180040e+01]	[  0.635 540.   ]  	[9.15e-01 9.65e+02]
48 	185   	[  0.84323333 776.48333333]    	[4.83395513e-02 7.77327669e+01]	[  0.65 575.  ]    	[9.15e-01 9.35e+02]
49 	157   	[  0.85205    787.78333333]    	[4.74926047e-02 7.55777947e+01]	[  0.66 565.  ]    	[9.30e-01 9.35e+02]
50 	175   	[  0.8509     782.71666667]    	[4.59259186e-02 7.35314200e+01]	[  0.655 525.   ]  	[  0.93 920.  ]    
51 	168   	[  0.85203333 787.43333333]    	[4.98835199e-02 7.23791790e+01]	[  0.63 425.  ]    	[9.2e-01 9.9e+02]  
52 	185   	[  0.85221667 783.03333333]    	[4.74271693e-02 6.87759567e+01]	[  0.635 570.   ]  	[9.25e-01 9.60e+02]
53 	177   	[  0.85528333 776.71666667]    	[4.68366280e-02 7.14199066e+01]	[  0.6 585. ]      	[9.2e-01 9.4e+02]  
54 	175   	[  0.85016667 769.06666667]    	[5.03336093e-02 6.99723437e+01]	[  0.59 585.  ]    	[9.2e-01 9.4e+02]  
55 	190   	[  0.85101667 777.33333333]    	[4.64314878e-02 6.81998697e+01]	[  0.655 560.   ]  	[9.3e-01 9.4e+02]  
56 	177   	[  0.85096667 778.25      ]    	[5.08255076e-02 7.09379130e+01]	[  0.66 515.  ]    	[9.35e-01 9.40e+02]
57 	174   	[  0.85293333 771.41666667]    	[4.97081035e-02 7.33592284e+01]	[  0.645 490.   ]  	[9.35e-01 9.60e+02]
58 	179   	[  0.85301667 772.76666667]    	[5.00814309e-02 6.93890882e+01]	[  0.615 570.   ]  	[  0.935 920.   ]  
59 	178   	[  0.85436667 771.13333333]    	[4.55184822e-02 6.70090707e+01]	[  0.695 535.   ]  	[  0.935 920.   ]  
60 	174   	[  0.85153333 767.58333333]    	[5.28013468e-02 6.72203570e+01]	[  0.61 595.  ]    	[  0.94 905.  ]    
