
################################ SETTINGS ###################################
#RUN ID: 1529701671.6149952
#Genetic Algorithm Parameters:
#Max gen: 		900
#Migrations Interval: 	300	with 1% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.2
#Tournament size:	 2
#CXPB:	0.35	MUTPB:	0.35
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(1.0, 865.0, 34161.7527132971)
AP:100
x:186.63080651323543, y:-131.07641431756548, type:1, wire:44
x:138.63606878469832, y:-229.5201691908589, type:1, wire:60
x:361.10676770719977, y:368.03312439084016, type:0, wire:52
x:-230.25479723234446, y:361.44753478897735, type:1, wire:84
x:-366.86402202944447, y:362.9980990743366, type:0, wire:86
x:-142.7558398644739, y:110.85909599361034, type:1, wire:64
x:310.37344263874405, y:-489.5660951986008, type:1, wire:86
x:249.98068471236908, y:370.9825251370542, type:0, wire:75
x:476.43579055720204, y:4.770019653228457, type:0, wire:15
x:486.22352888350395, y:-353.20787081540396, type:0, wire:6
x:-226.15946511371595, y:-398.4934664148676, type:0, wire:88
x:280.15848102607896, y:223.95578323040763, type:1, wire:20
x:338.51155099565943, y:-4.769178054197453, type:0, wire:93
x:-423.4365366084126, y:194.84154422809704, type:0, wire:53
x:-108.15293913875708, y:498.91314098843776, type:0, wire:94
x:-42.238980852156224, y:447.0679323345629, type:0, wire:24
x:97.67782847262366, y:256.3889222313802, type:0, wire:97
x:430.38400785809, y:1.722155864426076, type:1, wire:19
x:477.64622216679936, y:167.49387908537437, type:0, wire:36
x:-338.40125772294823, y:373.2473207532929, type:0, wire:12
x:-107.17555423991624, y:465.19563503140074, type:0, wire:26
x:79.83874927046809, y:70.85765667414427, type:1, wire:5
x:226.0554347111897, y:5.306434346280653, type:1, wire:96
x:-456.1060853267874, y:293.73247614173516, type:0, wire:75
x:-58.65565770164424, y:-211.80468210485463, type:0, wire:54
x:-37.10253158023292, y:355.86311695502485, type:0, wire:80
x:65.1729631278562, y:115.8130009095236, type:0, wire:12
x:-33.17570675139283, y:136.0118708282446, type:0, wire:77
x:0.1558990900410464, y:297.03584129361934, type:0, wire:84
x:-226.22069565681747, y:170.91720902430663, type:0, wire:79
x:246.94200999827558, y:-160.60781837777571, type:1, wire:82
x:-481.3060247707248, y:161.65620597114204, type:0, wire:82
x:-31.54141108377184, y:-444.7758160426351, type:1, wire:77
x:-248.268930567426, y:225.02204855580786, type:1, wire:96
x:-245.57923858703393, y:384.79997135759044, type:1, wire:40
x:26.50127640636453, y:-278.99098168941515, type:0, wire:82
x:201.4623871688979, y:143.53334499632533, type:0, wire:88
x:-57.65057638554069, y:44.74237378631301, type:0, wire:58
x:-425.9955119831088, y:-31.66952448319783, type:0, wire:20
x:183.9705246319823, y:306.44379314976385, type:0, wire:51
x:-475.21533085269647, y:-321.01158847847745, type:1, wire:55
x:-84.3971817725813, y:322.02336360301365, type:1, wire:61
x:-311.72591339840557, y:-226.90425679728457, type:1, wire:33
x:-441.9123805993409, y:19.338947115038533, type:1, wire:61
x:128.05745085495465, y:415.43415126704406, type:0, wire:74
x:-187.8743623110049, y:427.86313361908566, type:1, wire:53
x:130.72515623012626, y:-108.07768210095426, type:0, wire:99
x:127.30318050004057, y:-461.62739920677075, type:0, wire:37
x:-422.6958454272474, y:-184.59664771242265, type:1, wire:52
x:-397.7868936369388, y:-500.30444588419294, type:0, wire:95
x:19.393384419251014, y:166.31688486565065, type:0, wire:31
x:432.7644679398272, y:-36.42674251882838, type:1, wire:26
x:-177.29931207984018, y:49.503457054469806, type:0, wire:-1
x:-260.25113774739003, y:-212.27299571772977, type:0, wire:8
x:36.87297075145575, y:-11.828850869367614, type:0, wire:78
x:-201.5051903387271, y:-293.5719158547082, type:0, wire:55
x:-370.54351530150154, y:-254.57626789299331, type:0, wire:58
x:279.64784364396695, y:438.5978492650881, type:0, wire:82
x:369.5648254975106, y:-321.7466233609273, type:1, wire:21
x:-253.73334394296083, y:-146.125808587462, type:1, wire:39
x:435.41314737825695, y:275.22572994290744, type:0, wire:11
x:-254.00472270198497, y:-255.51445676798184, type:0, wire:81
x:-70.12235735948029, y:-329.16190605366614, type:0, wire:1
x:-79.53545925707468, y:-401.9199195350775, type:0, wire:7
x:77.44758557868457, y:-491.1149820227425, type:1, wire:64
x:282.99684119704204, y:-153.63693975366027, type:0, wire:17
x:77.08140970900249, y:-14.532837417052498, type:1, wire:46
x:281.96918337228533, y:-54.086208652721275, type:0, wire:96
x:-337.5591642425166, y:-307.51267389579897, type:1, wire:61
x:215.57989003826424, y:291.1018752064681, type:0, wire:6
x:-417.9814390195743, y:-189.63386112817236, type:1, wire:93
x:-514.4797710922413, y:-312.4074527404719, type:0, wire:50
x:247.90113284699962, y:350.59693540453617, type:1, wire:90
x:-396.3776428469075, y:-160.44947265838067, type:1, wire:31
x:-194.59555468405478, y:188.0411305016424, type:0, wire:38
x:147.48139172466813, y:144.72843993923937, type:0, wire:60
x:295.0444513812245, y:-75.97171542267662, type:0, wire:33
x:407.8899908165516, y:468.5303362762126, type:0, wire:81
x:-246.02370636331, y:-307.14016122902314, type:0, wire:35
x:-118.27064717277672, y:130.7560482210939, type:0, wire:48
x:-332.2008567068151, y:-240.97199441006416, type:1, wire:-1
x:40.07864325415535, y:-273.1781678563975, type:1, wire:51
x:-186.17926238017537, y:-26.00751233991386, type:0, wire:44
x:229.07297990066147, y:-160.33894312131787, type:1, wire:37
x:-365.3448739923747, y:-444.4733712704942, type:0, wire:81
x:398.29686168718916, y:438.26657933787607, type:1, wire:21
x:-241.1841552468684, y:-418.2281861156328, type:0, wire:69
x:-449.65020965895184, y:-412.82830136156525, type:1, wire:73
x:218.27982737830146, y:-441.4495696952536, type:0, wire:35
x:117.88322310240676, y:181.1809283842635, type:0, wire:87
x:-290.11502726018637, y:-173.7204357457548, type:0, wire:58
x:413.47575469493364, y:-227.48968309553553, type:0, wire:62
x:128.55454973936955, y:115.3724713947948, type:1, wire:67
x:-414.71639831661656, y:-197.74147613696968, type:0, wire:101
x:-195.6686585923697, y:-240.16154799681112, type:0, wire:73
x:234.95948350805847, y:82.89551113403071, type:1, wire:7
x:-117.68385884764061, y:188.15288163687117, type:1, wire:70
x:280.1554814728797, y:151.6978082699547, type:0, wire:26
x:-337.4329723034453, y:-50.641500018200325, type:0, wire:24
x:20.148037752201887, y:48.831774830971774, type:1, wire:97
IND:1
#fitness: 	(1.0, 890.0, 34029.88083296897)
AP:100
x:186.63080651323543, y:-131.07641431756548, type:1, wire:44
x:138.63606878469832, y:-229.5201691908589, type:1, wire:60
x:361.10676770719977, y:368.03312439084016, type:0, wire:52
x:-230.25479723234446, y:361.44753478897735, type:1, wire:84
x:-366.86402202944447, y:362.9980990743366, type:0, wire:86
x:-142.7558398644739, y:110.85909599361034, type:1, wire:64
x:310.37344263874405, y:-487.30293311905933, type:0, wire:86
x:249.98068471236908, y:370.9825251370542, type:0, wire:75
x:476.43579055720204, y:4.770019653228457, type:0, wire:15
x:486.22352888350395, y:-348.15227689280846, type:1, wire:6
x:-226.15946511371595, y:-398.4934664148676, type:0, wire:88
x:280.15848102607896, y:223.95578323040763, type:1, wire:20
x:338.51155099565943, y:-4.769178054197453, type:0, wire:93
x:-423.4365366084126, y:194.84154422809704, type:0, wire:53
x:-108.15293913875708, y:498.91314098843776, type:0, wire:94
x:-25.331383627965977, y:446.561761010232, type:0, wire:22
x:97.67782847262366, y:256.3889222313802, type:0, wire:97
x:430.38400785809, y:1.722155864426076, type:1, wire:19
x:477.39880919344563, y:156.9805677072475, type:0, wire:26
x:-338.40125772294823, y:373.2473207532929, type:0, wire:12
x:-107.17555423991624, y:465.19563503140074, type:0, wire:26
x:71.9900394689058, y:70.85765667414427, type:1, wire:5
x:226.0554347111897, y:5.306434346280653, type:1, wire:96
x:-456.1060853267874, y:293.73247614173516, type:0, wire:75
x:-50.194445675364236, y:-211.80468210485463, type:0, wire:54
x:-37.10253158023292, y:355.86311695502485, type:1, wire:90
x:65.1729631278562, y:115.8130009095236, type:0, wire:12
x:-33.17570675139283, y:136.0118708282446, type:0, wire:77
x:0.1558990900410464, y:297.03584129361934, type:1, wire:12
x:-226.22069565681747, y:170.91720902430663, type:0, wire:79
x:246.94200999827558, y:-160.60781837777571, type:1, wire:82
x:-481.3060247707248, y:161.65620597114204, type:0, wire:82
x:-31.54141108377184, y:-444.7758160426351, type:1, wire:59
x:-248.268930567426, y:225.02204855580786, type:1, wire:96
x:-245.57923858703393, y:384.79997135759044, type:1, wire:40
x:26.50127640636453, y:-278.99098168941515, type:0, wire:82
x:201.4623871688979, y:143.53334499632533, type:0, wire:88
x:-54.274324472234376, y:36.12077633788072, type:1, wire:58
x:-425.9955119831088, y:-31.66952448319783, type:0, wire:20
x:183.9705246319823, y:306.44379314976385, type:0, wire:51
x:-475.21533085269647, y:-321.01158847847745, type:1, wire:55
x:-84.3971817725813, y:322.02336360301365, type:1, wire:61
x:-311.72591339840557, y:-226.90425679728457, type:1, wire:33
x:-441.9123805993409, y:19.338947115038533, type:1, wire:61
x:128.05745085495465, y:416.1279047568707, type:0, wire:42
x:-187.8743623110049, y:427.86313361908566, type:1, wire:53
x:130.72515623012626, y:-108.07768210095426, type:0, wire:99
x:127.30318050004057, y:-478.28325760485177, type:0, wire:79
x:-409.3689845064277, y:-174.80570749664068, type:0, wire:52
x:-388.7756066240563, y:-500.30444588419294, type:1, wire:66
x:19.393384419251014, y:166.31688486565065, type:0, wire:31
x:432.7644679398272, y:-36.42674251882838, type:1, wire:26
x:-177.29931207984018, y:49.503457054469806, type:0, wire:-1
x:-260.25113774739003, y:-212.27299571772977, type:0, wire:8
x:36.87297075145575, y:-11.828850869367614, type:0, wire:78
x:-201.5051903387271, y:-293.5719158547082, type:1, wire:55
x:-370.54351530150154, y:-254.57626789299331, type:0, wire:58
x:279.64784364396695, y:438.5978492650881, type:0, wire:82
x:369.5648254975106, y:-321.7466233609273, type:1, wire:21
x:-252.17469399385897, y:-143.42785513957605, type:1, wire:61
x:435.41314737825695, y:275.22572994290744, type:0, wire:11
x:-254.00472270198497, y:-255.51445676798184, type:0, wire:81
x:-70.12235735948029, y:-329.16190605366614, type:0, wire:1
x:-79.53545925707468, y:-401.9199195350775, type:0, wire:23
x:77.44758557868457, y:-491.1149820227425, type:0, wire:64
x:282.99684119704204, y:-153.63693975366027, type:0, wire:17
x:81.00940064735508, y:-14.995446972890035, type:1, wire:20
x:277.1914157129712, y:-55.895373745294535, type:0, wire:28
x:-334.7886486130708, y:-304.95316476345516, type:1, wire:77
x:215.57989003826424, y:291.1018752064681, type:0, wire:6
x:-417.9814390195743, y:-189.63386112817236, type:1, wire:93
x:-515.3189279047716, y:-315.71702282836645, type:1, wire:7
x:247.90113284699962, y:350.59693540453617, type:1, wire:90
x:-396.3776428469075, y:-160.44947265838067, type:1, wire:31
x:-194.59555468405478, y:188.0411305016424, type:0, wire:38
x:150.00275176972818, y:144.72843993923937, type:1, wire:57
x:295.0444513812245, y:-75.97171542267662, type:0, wire:33
x:407.8899908165516, y:470.558060694673, type:1, wire:81
x:-246.02370636331, y:-307.14016122902314, type:0, wire:35
x:-118.27064717277672, y:130.7560482210939, type:0, wire:48
x:-332.2008567068151, y:-240.97199441006416, type:1, wire:-1
x:40.07864325415535, y:-273.1781678563975, type:1, wire:51
x:-186.17926238017537, y:-26.00751233991386, type:0, wire:44
x:229.07297990066147, y:-156.24136392493526, type:0, wire:37
x:-359.6814015446166, y:-444.2609026818789, type:0, wire:81
x:398.29686168718916, y:438.26657933787607, type:1, wire:21
x:-241.1841552468684, y:-418.2281861156328, type:0, wire:69
x:-449.65020965895184, y:-412.82830136156525, type:1, wire:73
x:218.27982737830146, y:-441.4495696952536, type:0, wire:35
x:117.88322310240676, y:181.1809283842635, type:0, wire:43
x:-290.11502726018637, y:-173.7204357457548, type:0, wire:58
x:413.47575469493364, y:-227.48968309553553, type:0, wire:62
x:132.92172063550996, y:115.3724713947948, type:1, wire:96
x:-414.71639831661656, y:-197.74147613696968, type:0, wire:101
x:-195.6686585923697, y:-240.16154799681112, type:0, wire:73
x:234.95948350805847, y:82.89551113403071, type:1, wire:7
x:-117.68385884764061, y:188.15288163687117, type:1, wire:70
x:280.1554814728797, y:151.6978082699547, type:0, wire:26
x:-332.10457677215226, y:-46.55232002696806, type:0, wire:43
x:20.148037752201887, y:48.831774830971774, type:1, wire:97
IND:2
#fitness: 	(1.0, 895.0, 33868.50054704195)
AP:100
x:186.63080651323543, y:-131.07641431756548, type:1, wire:10
x:138.63606878469832, y:-229.5201691908589, type:1, wire:60
x:361.10676770719977, y:368.03312439084016, type:0, wire:52
x:-230.25479723234446, y:361.44753478897735, type:1, wire:84
x:-366.86402202944447, y:362.9980990743366, type:0, wire:86
x:-142.7558398644739, y:110.85909599361034, type:1, wire:64
x:310.37344263874405, y:-487.30293311905933, type:0, wire:86
x:249.98068471236908, y:370.9825251370542, type:0, wire:75
x:476.43579055720204, y:4.770019653228457, type:0, wire:15
x:486.22352888350395, y:-348.15227689280846, type:1, wire:6
x:-226.15946511371595, y:-398.4934664148676, type:0, wire:88
x:280.15848102607896, y:223.95578323040763, type:1, wire:20
x:338.51155099565943, y:-4.769178054197453, type:0, wire:93
x:-423.4365366084126, y:194.84154422809704, type:0, wire:53
x:-108.15293913875708, y:498.91314098843776, type:0, wire:94
x:-23.720437814287195, y:443.19714693630914, type:0, wire:28
x:97.67782847262366, y:256.3889222313802, type:0, wire:97
x:430.38400785809, y:1.722155864426076, type:1, wire:19
x:477.64622216679936, y:167.49387908537437, type:0, wire:36
x:-338.40125772294823, y:373.2473207532929, type:1, wire:12
x:-107.17555423991624, y:465.19563503140074, type:0, wire:26
x:79.83874927046809, y:70.85765667414427, type:1, wire:5
x:226.0554347111897, y:5.306434346280653, type:1, wire:10
x:-456.1060853267874, y:293.73247614173516, type:0, wire:75
x:-50.194445675364236, y:-211.80468210485463, type:0, wire:54
x:-44.98254321680955, y:354.2643745558979, type:1, wire:47
x:65.1729631278562, y:115.8130009095236, type:0, wire:12
x:-33.17570675139283, y:136.0118708282446, type:0, wire:77
x:0.1558990900410464, y:297.03584129361934, type:0, wire:84
x:-236.75587244378656, y:174.94323812465055, type:0, wire:79
x:246.94200999827558, y:-160.60781837777571, type:1, wire:82
x:-481.3060247707248, y:161.65620597114204, type:0, wire:82
x:-31.54141108377184, y:-444.7758160426351, type:1, wire:59
x:-248.268930567426, y:225.02204855580786, type:1, wire:96
x:-245.57923858703393, y:384.79997135759044, type:1, wire:40
x:26.50127640636453, y:-278.99098168941515, type:0, wire:82
x:201.4623871688979, y:143.53334499632533, type:0, wire:88
x:-57.65057638554069, y:44.74237378631301, type:0, wire:58
x:-437.75932004213996, y:-31.66952448319783, type:0, wire:20
x:183.9705246319823, y:306.44379314976385, type:0, wire:51
x:-475.21533085269647, y:-321.01158847847745, type:1, wire:55
x:-84.3971817725813, y:322.02336360301365, type:1, wire:61
x:-311.72591339840557, y:-226.90425679728457, type:1, wire:33
x:-441.9123805993409, y:19.338947115038533, type:1, wire:61
x:128.05745085495465, y:416.3564686324027, type:0, wire:7
x:-187.8743623110049, y:427.86313361908566, type:1, wire:53
x:130.72515623012626, y:-108.07768210095426, type:0, wire:99
x:127.30318050004057, y:-478.28325760485177, type:0, wire:79
x:-422.6958454272474, y:-184.59664771242265, type:1, wire:52
x:-388.7756066240563, y:-500.30444588419294, type:1, wire:66
x:19.393384419251014, y:166.50076038632696, type:0, wire:31
x:432.7644679398272, y:-36.42674251882838, type:1, wire:26
x:-177.29931207984018, y:49.503457054469806, type:0, wire:-1
x:-260.25113774739003, y:-212.27299571772977, type:0, wire:8
x:36.87297075145575, y:-11.828850869367614, type:0, wire:78
x:-201.5051903387271, y:-293.5719158547082, type:1, wire:55
x:-376.66387209674207, y:-254.57626789299331, type:0, wire:97
x:279.64784364396695, y:438.5978492650881, type:0, wire:82
x:369.5648254975106, y:-321.7466233609273, type:1, wire:21
x:-253.73334394296083, y:-146.125808587462, type:1, wire:39
x:435.41314737825695, y:275.22572994290744, type:0, wire:11
x:-254.00472270198497, y:-255.51445676798184, type:0, wire:81
x:-70.12235735948029, y:-329.16190605366614, type:0, wire:1
x:-79.53545925707468, y:-401.9199195350775, type:0, wire:7
x:77.44758557868457, y:-491.1149820227425, type:1, wire:64
x:282.99684119704204, y:-153.63693975366027, type:0, wire:17
x:77.08140970900249, y:-14.532837417052498, type:1, wire:46
x:281.96918337228533, y:-54.086208652721275, type:0, wire:96
x:-337.5591642425166, y:-307.51267389579897, type:1, wire:61
x:215.57989003826424, y:291.1018752064681, type:0, wire:6
x:-417.9814390195743, y:-189.63386112817236, type:1, wire:93
x:-517.7522182532048, y:-312.4074527404719, type:0, wire:50
x:247.90113284699962, y:350.59693540453617, type:1, wire:90
x:-396.3776428469075, y:-160.44947265838067, type:1, wire:31
x:-194.59555468405478, y:188.0411305016424, type:0, wire:38
x:147.48139172466813, y:144.72843993923937, type:0, wire:60
x:291.890685713325, y:-75.97171542267662, type:0, wire:33
x:407.8899908165516, y:470.558060694673, type:1, wire:81
x:-246.02370636331, y:-307.14016122902314, type:0, wire:35
x:-118.27064717277672, y:130.7560482210939, type:0, wire:48
x:-332.2008567068151, y:-240.97199441006416, type:1, wire:-1
x:40.07864325415535, y:-273.1781678563975, type:1, wire:51
x:-186.17926238017537, y:-26.00751233991386, type:0, wire:44
x:229.07297990066147, y:-160.33894312131787, type:1, wire:37
x:-365.3448739923747, y:-440.55736962205157, type:0, wire:96
x:398.29686168718916, y:438.26657933787607, type:1, wire:21
x:-241.1841552468684, y:-418.2281861156328, type:0, wire:69
x:-449.65020965895184, y:-411.89562858520947, type:1, wire:73
x:218.27982737830146, y:-441.4495696952536, type:0, wire:35
x:117.88322310240676, y:181.1809283842635, type:0, wire:87
