
################################ SETTINGS ###################################
#RUN ID: 1529778533.3549898
#Genetic Algorithm Parameters:
#Max gen: 		700
#Migrations Interval: 	100	with 2% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.07
#Tournament size:	 3
#CXPB:	0.5	MUTPB:	0.25
##############################################################################
N_INDIVIDUALS:20
IND:0
#fitness: 	(1.0, 635.0, 16270.1368932858)
AP:100
x:419.83167684003826, y:479.86200033006725, type:0, wire:59
x:166.1271974737736, y:-311.63317811761607, type:1, wire:63
x:-4.6560919845160065, y:-132.80516681122538, type:1, wire:55
x:-388.65283110541054, y:252.54253898346897, type:0, wire:47
x:180.58233995672282, y:-150.36225334604956, type:0, wire:26
x:-249.07687511685438, y:-454.7539239091344, type:0, wire:73
x:-436.8456300169219, y:160.52656233773948, type:0, wire:43
x:-124.5158152402472, y:-139.80974089552242, type:1, wire:50
x:270.8658003864726, y:36.53864529314592, type:1, wire:18
x:-114.77212452809779, y:38.702986797536255, type:1, wire:9
x:208.83611570722135, y:-237.01522008936286, type:0, wire:48
x:-431.4926948127586, y:-142.53576489547254, type:0, wire:55
x:303.4308838741483, y:233.9283229084256, type:0, wire:16
x:214.45127940215332, y:194.25988797968697, type:1, wire:20
x:-215.93617104011514, y:-453.10287334848186, type:1, wire:80
x:308.7670367440477, y:-375.909714219356, type:1, wire:73
x:154.93233522871122, y:112.27060993352187, type:0, wire:54
x:19.571839554714067, y:-17.871735313513483, type:1, wire:87
x:-371.57819191867395, y:41.102717025589975, type:0, wire:52
x:-430.16359350857596, y:-191.54232159103745, type:1, wire:55
x:-277.79162374555887, y:-95.44838872304877, type:0, wire:26
x:22.802412986021196, y:321.48999280625765, type:0, wire:64
x:-413.28234000889086, y:186.7634673028377, type:0, wire:26
x:40.3839017702485, y:118.76473812855441, type:1, wire:88
x:33.4601351947828, y:199.01684714865928, type:0, wire:49
x:-215.34719235880507, y:25.961374554674812, type:0, wire:101
x:296.4445830735769, y:497.4951317989119, type:0, wire:101
x:424.25266491076394, y:313.9674560407171, type:0, wire:54
IND:2
#fitness: 	(0.995, 650.0, 16264.16635148935)
AP:100
x:-296.76201835170974, y:397.4996268809695, type:0, wire:101
x:-131.47035661306097, y:-422.32379458973526, type:0, wire:73
x:98.74412907667404, y:-240.5700613965029, type:1, wire:48
x:88.90903081870111, y:-166.2118640157092, type:1, wire:83
x:17.288520483188478, y:-73.20533581012688, type:0, wire:83
x:-187.9480090645265, y:369.34146522095193, type:1, wire:101
x:-443.9033494538347, y:-236.41567650021076, type:0, wire:27
x:-293.6289909889372, y:-152.32323159497096, type:1, wire:68
x:28.346766895845818, y:-411.49754710510547, type:0, wire:84
x:-341.13772967286815, y:-108.48003081936211, type:0, wire:9
x:140.0684486201792, y:-281.6910369348105, type:0, wire:14
x:340.6258880295288, y:-58.53465234206698, type:0, wire:40
x:485.73170680356804, y:155.9669027676413, type:0, wire:88
x:399.39667513477366, y:-368.19444354425076, type:1, wire:18
x:-399.3512486082709, y:182.31271587126562, type:0, wire:80
x:-298.16484080967473, y:-247.31287732394205, type:0, wire:26
x:171.27222228308273, y:286.68013409104856, type:0, wire:39
x:241.0432354298674, y:463.1755675012784, type:0, wire:98
x:57.67556258591499, y:40.08430094875662, type:1, wire:64
x:48.28572151732657, y:-363.13084403491945, type:1, wire:100
x:1.7387800571975651, y:409.41730825036854, type:1, wire:101
x:162.98084142021625, y:-331.8473120218022, type:0, wire:18
x:171.5378768027298, y:-179.79644025183325, type:0, wire:40
x:243.89275283234565, y:45.95561773931291, type:1, wire:26
x:315.3776735983793, y:-126.5017359216237, type:0, wire:23
x:-107.9277213902847, y:207.07831414243606, type:0, wire:101
x:-277.5391127279953, y:102.03058368119571, type:0, wire:101
x:-406.4034293128337, y:-432.07116970160877, type:1, wire:26
x:351.40363059171153, y:23.232726257864783, type:0, wire:67
x:-38.642037295627766, y:40.816160656479525, type:0, wire:101
x:480.43750680070264, y:288.6283408395921, type:1, wire:-1
x:-228.43055351146853, y:-337.93406685148307, type:1, wire:100
x:312.45556977356705, y:322.7825893715356, type:0, wire:63
x:307.7454537721746, y:-404.61155698997595, type:1, wire:88
